# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
155,1654750294.2223234,656.5,1868800,-1.869998574256897,5359.94873046875,114.12178039550781,51.13740921020508,82.08381652832031,-19.099445343017578,64
156,1654750297.9433346,656.5,1879040,-58.344871520996094,5547.875,-32.53611755371094,-34.95064926147461,21.39093017578125,-18.976398468017578,64
157,1654750299.6083717,661.5,1884160,13.07651138305664,5449.76123046875,-55.74781036376953,-42.82056427001953,6.1877288818359375,-19.114973068237305,64
158,1654750306.5700936,666.5,1904640,-0.9234086275100708,5365.4453125,-48.812313079833984,-42.439510345458984,12.178276062011719,-18.55107879638672,64
159,1654750311.875133,671.5,1920000,16.473058700561523,5133.92333984375,-44.25356674194336,-34.20420837402344,8.21143913269043,-18.26079750061035,64
160,1654750321.5100813,681.5,1945600,72.43124389648438,5338.80224609375,137.30563354492188,128.19418334960938,27.448429107666016,-18.336971282958984,64
161,1654750326.6617148,686.5,1960960,-62.854854583740234,5074.25927734375,45.77902603149414,34.8222770690918,29.317861557006836,-18.36111068725586,64
162,1654750328.4334292,686.5,1966080,-46.16741180419922,5694.4140625,562.874267578125,350.673828125,230.1302490234375,-17.9298038482666,64
163,1654750330.1387749,691.5,1971200,-24.514636993408203,5666.28125,-21.75518798828125,-9.110620498657227,5.1127448081970215,-17.757312774658203,64
164,1654750333.655803,696.6,1981440,-43.75154495239258,5495.21337890625,23.512365341186523,17.931304931640625,23.792858123779297,-18.2117977142334,64
165,1654750335.392933,696.6,1986560,-33.000885009765625,5372.8359375,23.920907974243164,26.59587860107422,15.1118745803833,-17.78684425354004,64
166,1654750340.5938232,701.6,2001920,55.82086944580078,4633.09912109375,-135.23019409179688,-134.48178100585938,17.174381256103516,-17.92279815673828,64
167,1654750344.0591805,706.6,2012160,-13.098536491394043,5623.640625,-112.19943237304688,-127.50157165527344,33.315895080566406,-18.01375961303711,64
168,1654750345.7188659,706.6,2017280,-84.78970336914062,5029.49365234375,206.10476684570312,153.94912719726562,70.10708618164062,-17.951446533203125,64
169,1654750354.9701355,716.6,2042880,-18.456722259521484,5238.2919921875,-47.36322021484375,-38.02503967285156,7.475761413574219,-16.813941955566406,64
170,1654750356.9805467,716.6,2048000,12.321039199829102,5916.11669921875,22.21483612060547,29.861995697021484,9.303418159484863,-16.950576782226562,64
171,1654750358.7231777,721.6,2053120,-40.0966796875,5667.15380859375,-114.07179260253906,-99.19859313964844,2.6883201599121094,-17.561521530151367,64
172,1654750360.5329745,721.6,2058240,-44.94519805908203,5812.30029296875,231.83837890625,169.19985961914062,80.39492797851562,-17.75641441345215,64
173,1654750364.0448706,726.6,2068480,-53.92302703857422,5297.2021484375,-86.07158660888672,-74.9337158203125,5.990097522735596,-17.127965927124023,64
174,1654750370.8594892,731.6,2088960,-48.42604064941406,5610.078125,13.279573440551758,10.389524459838867,19.315975189208984,-16.425926208496094,64
175,1654750372.5341225,731.6,2094080,-7.110250473022461,5327.33935546875,178.83578491210938,160.26358032226562,35.55841064453125,-16.986207962036133,64
176,1654750374.3520396,736.6,2099200,-39.37325668334961,5791.3486328125,-156.42857360839844,-143.4300537109375,3.7890889644622803,-16.78761100769043,64
